area,metric,source_a,value_a,source_b,value_b,absolute_difference,comparison_status,authoritative_decision
Akyarlar,sample_hotel_count,current_hotels_enriched_aggregate,16.0,eda_destination_profile,16.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,sample_hotel_count,current_hotels_enriched_aggregate,18.0,eda_destination_profile,18.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,sample_hotel_count,current_hotels_enriched_aggregate,13.0,eda_destination_profile,13.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,sample_hotel_count,current_hotels_enriched_aggregate,10.0,eda_destination_profile,10.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,sample_hotel_count,current_hotels_enriched_aggregate,15.0,eda_destination_profile,15.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,sample_hotel_count,current_hotels_enriched_aggregate,15.0,eda_destination_profile,15.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,sample_hotel_count,current_hotels_enriched_aggregate,14.0,eda_destination_profile,14.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,sample_hotel_count,current_hotels_enriched_aggregate,10.0,eda_destination_profile,10.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,sample_hotel_count,current_hotels_enriched_aggregate,4.0,eda_destination_profile,4.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Ortakent-Yahşi,sample_hotel_count,current_hotels_enriched_aggregate,21.0,eda_destination_profile,21.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Torba,sample_hotel_count,current_hotels_enriched_aggregate,21.0,eda_destination_profile,21.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Turgutreis,sample_hotel_count,current_hotels_enriched_aggregate,7.0,eda_destination_profile,7.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Türkbükü,sample_hotel_count,current_hotels_enriched_aggregate,6.0,eda_destination_profile,6.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Yalıkavak,sample_hotel_count,current_hotels_enriched_aggregate,22.0,eda_destination_profile,22.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Akyarlar,sample_hotel_count,current_hotels_enriched_aggregate,16.0,destination_intelligence_v1,16.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bitez,sample_hotel_count,current_hotels_enriched_aggregate,18.0,destination_intelligence_v1,18.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bodrum Merkez,sample_hotel_count,current_hotels_enriched_aggregate,13.0,destination_intelligence_v1,13.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Göltürkbükü,sample_hotel_count,current_hotels_enriched_aggregate,10.0,destination_intelligence_v1,10.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümbet,sample_hotel_count,current_hotels_enriched_aggregate,15.0,destination_intelligence_v1,15.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümüşlük,sample_hotel_count,current_hotels_enriched_aggregate,15.0,destination_intelligence_v1,15.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gündoğan,sample_hotel_count,current_hotels_enriched_aggregate,14.0,destination_intelligence_v1,14.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Güvercinlik,sample_hotel_count,current_hotels_enriched_aggregate,10.0,destination_intelligence_v1,10.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Kadıkalesi,sample_hotel_count,current_hotels_enriched_aggregate,4.0,destination_intelligence_v1,4.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Ortakent-Yahşi,sample_hotel_count,current_hotels_enriched_aggregate,21.0,destination_intelligence_v1,21.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Torba,sample_hotel_count,current_hotels_enriched_aggregate,21.0,destination_intelligence_v1,21.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Turgutreis,sample_hotel_count,current_hotels_enriched_aggregate,7.0,destination_intelligence_v1,7.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Türkbükü,sample_hotel_count,current_hotels_enriched_aggregate,6.0,destination_intelligence_v1,6.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Yalıkavak,sample_hotel_count,current_hotels_enriched_aggregate,22.0,destination_intelligence_v1,22.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Akyarlar,avg_google_rating,current_hotels_enriched_aggregate,4.45,eda_destination_profile,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,avg_google_rating,current_hotels_enriched_aggregate,4.227777777777778,eda_destination_profile,4.227777777777778,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,avg_google_rating,current_hotels_enriched_aggregate,4.3,eda_destination_profile,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,avg_google_rating,current_hotels_enriched_aggregate,4.4799999999999995,eda_destination_profile,4.4799999999999995,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,avg_google_rating,current_hotels_enriched_aggregate,4.093333333333333,eda_destination_profile,4.093333333333333,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,avg_google_rating,current_hotels_enriched_aggregate,4.506666666666666,eda_destination_profile,4.506666666666666,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,avg_google_rating,current_hotels_enriched_aggregate,4.585714285714286,eda_destination_profile,4.585714285714286,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,avg_google_rating,current_hotels_enriched_aggregate,4.16,eda_destination_profile,4.16,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,avg_google_rating,current_hotels_enriched_aggregate,4.3,eda_destination_profile,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Ortakent-Yahşi,avg_google_rating,current_hotels_enriched_aggregate,4.295238095238095,eda_destination_profile,4.295238095238095,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Torba,avg_google_rating,current_hotels_enriched_aggregate,4.366666666666667,eda_destination_profile,4.366666666666667,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Turgutreis,avg_google_rating,current_hotels_enriched_aggregate,4.428571428571429,eda_destination_profile,4.428571428571429,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Türkbükü,avg_google_rating,current_hotels_enriched_aggregate,4.45,eda_destination_profile,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Yalıkavak,avg_google_rating,current_hotels_enriched_aggregate,4.463636363636364,eda_destination_profile,4.463636363636364,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Akyarlar,avg_google_rating,current_hotels_enriched_aggregate,4.45,destination_intelligence_v1,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bitez,avg_google_rating,current_hotels_enriched_aggregate,4.227777777777778,destination_intelligence_v1,4.2278,2.2222222222367805e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bodrum Merkez,avg_google_rating,current_hotels_enriched_aggregate,4.3,destination_intelligence_v1,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
