finding_id,level,hotel_id,hotel_name,area,finding,evidence_metric,evidence_value,support_n,confidence,limitation
SVF001,GLOBAL,,,,Local mapping closure reviewed every prior review/ambiguous hotel without web access.,mapping_cases_reviewed,44.0,44,HIGH,Uncollected complaints remain for newly validated pages.
SVF002,GLOBAL,,,,Clean v2 adds one explicit Selectum Colors complaint while keeping Collection collisions excluded.,clean_v3_rows,353.0,353,HIGH,Corpus remains complaint-focused and self-selected.
SVF003,GLOBAL,,,,"Visible company replies are an operational visibility signal, not resolution.",company_reply_visibility_pct,11.33,353,HIGH,Reply presence does not show outcome or satisfaction.
SVF004,GLOBAL_ASPECT,,,,STAFF_SERVICE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,69.12,244,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF005,GLOBAL_ASPECT,,,,ROOM is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,61.47,217,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF006,GLOBAL_ASPECT,,,,MANAGEMENT_COMMUNICATION is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,56.94,201,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF007,GLOBAL_ASPECT,,,,FOOD_BEVERAGE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,52.12,184,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF008,GLOBAL_ASPECT,,,,PAYMENT_REFUND is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,48.16,170,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF009,GLOBAL_ASPECT,,,,CLEANLINESS_HYGIENE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,47.88,169,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF010,GLOBAL_ASPECT,,,,PRICE_VALUE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,45.61,161,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF011,GLOBAL_ASPECT,,,,FACILITIES_MAINTENANCE is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,39.94,141,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF012,GLOBAL_ASPECT,,,,RESERVATION is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,39.66,140,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF013,GLOBAL_ASPECT,,,,BEACH_SEA is a recurrent complaint theme in the available clean-v2 corpus.,aspect_mention_rate_pct,30.88,109,HIGH,Multi-label rule-based taxonomy; mentions may overlap.
SVF014,HOTEL,BOD002,Armonia Holiday Village & Spa,Akyarlar,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,75.0,8,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF015,HOTEL,BOD004,Bendis Beach Hotel,Akyarlar,Supported complaint corpus recurrently mentions FOOD_BEVERAGE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,75.0,12,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF016,HOTEL,BOD006,Club Marma Hotel,Akyarlar,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF017,HOTEL,BOD007,Kefaluka Resort,Akyarlar,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,65.52,29,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF018,HOTEL,BOD019,Bitez Garden Life Hotel&Suites,Bitez,Supported complaint corpus recurrently mentions CLEANLINESS_HYGIENE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,85.71,14,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF019,HOTEL,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,80.0,10,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF020,HOTEL,BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,80.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF021,HOTEL,BOD045,Salmakis Resort & Spa,Bodrum Merkez,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF022,HOTEL,BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Supported complaint corpus recurrently mentions RESERVATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,66.67,18,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF023,HOTEL,BOD067,Sami Beach Hotel,Gümbet,Supported complaint corpus recurrently mentions RESERVATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,83.33,6,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF024,HOTEL,BOD068,Selectum Colours Bodrum,Gümbet,Supported complaint corpus recurrently mentions ROOM; this is not a hotel-quality ranking.,aspect_mention_rate_pct,88.89,9,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF025,HOTEL,BOD077,Ladonia Hotels Zemda,Gümüşlük,Supported complaint corpus recurrently mentions RESERVATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,100.0,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF026,HOTEL,BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions FOOD_BEVERAGE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,81.82,11,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF027,HOTEL,BOD106,La Blanche Island Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,73.68,19,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF028,HOTEL,BOD108,Lujo Hotel Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,66.67,15,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF029,HOTEL,BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,60.0,5,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF030,HOTEL,BOD112,Azure By Yelken Hotel,Kadıkalesi,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,76.92,26,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF031,HOTEL,BOD113,Kadıkale Resort,Kadıkalesi,Supported complaint corpus recurrently mentions ROOM; this is not a hotel-quality ranking.,aspect_mention_rate_pct,85.71,7,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF032,HOTEL,BOD115,Yasmin Bodrum Resort,Kadıkalesi,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,65.22,23,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF033,HOTEL,BOD130,Petunya Beach Resort,Ortakent-Yahşi,Supported complaint corpus recurrently mentions MANAGEMENT_COMMUNICATION; this is not a hotel-quality ranking.,aspect_mention_rate_pct,84.62,13,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF034,HOTEL,BOD153,The Oba Hotel,Torba,Supported complaint corpus recurrently mentions PAYMENT_REFUND; this is not a hotel-quality ranking.,aspect_mention_rate_pct,80.0,10,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF035,HOTEL,BOD160,La Blanche Resort Bodrum,Turgutreis,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,83.33,12,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF036,HOTEL,BOD161,MyElla Hotel Resort & Spa,Turgutreis,Supported complaint corpus recurrently mentions STAFF_SERVICE; this is not a hotel-quality ranking.,aspect_mention_rate_pct,78.57,28,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF037,HOTEL,BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,Supported complaint corpus recurrently mentions ROOM; this is not a hotel-quality ranking.,aspect_mention_rate_pct,92.86,14,MEDIUM,Only visible Şikayetvar complaints; unequal exposure.
SVF038,AREA,,,Akyarlar,Available complaints in Akyarlar recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,73.02,63,MEDIUM,Area mapping coverage and hotel mix differ.
SVF039,AREA,,,Bitez,Available complaints in Bitez recurrently mention ROOM.,aspect_mention_rate_pct,87.5,16,MEDIUM,Area mapping coverage and hotel mix differ.
SVF040,AREA,,,Bodrum Merkez,Available complaints in Bodrum Merkez recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,79.17,24,MEDIUM,Area mapping coverage and hotel mix differ.
SVF041,AREA,,,Gümbet,Available complaints in Gümbet recurrently mention MANAGEMENT_COMMUNICATION.,aspect_mention_rate_pct,65.91,44,MEDIUM,Area mapping coverage and hotel mix differ.
SVF042,AREA,,,Güvercinlik,Available complaints in Güvercinlik recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,68.97,58,MEDIUM,Area mapping coverage and hotel mix differ.
SVF043,AREA,,,Kadıkalesi,Available complaints in Kadıkalesi recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,71.43,56,MEDIUM,Area mapping coverage and hotel mix differ.
SVF044,AREA,,,Ortakent-Yahşi,Available complaints in Ortakent-Yahşi recurrently mention MANAGEMENT_COMMUNICATION.,aspect_mention_rate_pct,75.0,16,MEDIUM,Area mapping coverage and hotel mix differ.
SVF045,AREA,,,Torba,Available complaints in Torba recurrently mention PAYMENT_REFUND.,aspect_mention_rate_pct,83.33,12,MEDIUM,Area mapping coverage and hotel mix differ.
SVF046,AREA,,,Turgutreis,Available complaints in Turgutreis recurrently mention STAFF_SERVICE.,aspect_mention_rate_pct,80.49,41,MEDIUM,Area mapping coverage and hotel mix differ.
SVF047,AREA,,,Yalıkavak,Available complaints in Yalıkavak recurrently mention ROOM.,aspect_mention_rate_pct,92.86,14,MEDIUM,Area mapping coverage and hotel mix differ.
