hotel_id,hotel_name,area,matched_complaint_count,complaints_with_replies,company_response_count,median_complaint_word_count,small_n_flag,nlp_sample_tier,tier_rule,recommended_use,main_caution
BOD007,Kefaluka Resort,Akyarlar,29,23,22,165.0,False,HIGH_SAMPLE,HIGH_SAMPLE: n>=15,Hotel-level topic/aspect exploration with uncertainty reporting,Document count alone does not establish representativeness.
BOD112,Azure By Yelken Hotel,Kadıkalesi,26,1,1,184.5,False,HIGH_SAMPLE,HIGH_SAMPLE: n>=15,Hotel-level topic/aspect exploration with uncertainty reporting,Document count alone does not establish representativeness.
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,0,0,107.0,False,HIGH_SAMPLE,HIGH_SAMPLE: n>=15,Hotel-level topic/aspect exploration with uncertainty reporting,Document count alone does not establish representativeness.
BOD106,La Blanche Island Bodrum,Güvercinlik,19,6,5,150.0,False,HIGH_SAMPLE,HIGH_SAMPLE: n>=15,Hotel-level topic/aspect exploration with uncertainty reporting,Document count alone does not establish representativeness.
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,2,0,147.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD004,Bendis Beach Hotel,Akyarlar,12,6,5,132.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD160,La Blanche Resort Bodrum,Turgutreis,12,1,0,120.5,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,11,2,0,198.5,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD153,The Oba Hotel,Torba,10,1,0,72.5,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD068,Selectum Colours Bodrum,Gümbet,8,0,0,140.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD045,Salmakis Resort & Spa,Bodrum Merkez,7,1,0,194.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD113,Kadıkale Resort,Kadıkalesi,7,4,2,175.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD077,Ladonia Hotels Zemda,Gümüşlük,7,2,0,137.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD067,Sami Beach Hotel,Gümbet,6,0,0,172.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,5,1,0,125.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD006,Club Marma Hotel,Akyarlar,5,0,0,75.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,5,0,0,111.0,False,MEDIUM_SAMPLE,MEDIUM_SAMPLE: 5<=n<15,Pooled or area-level analysis; hotel findings only as indicative,Document count alone does not establish representativeness.
BOD012,Selectum Collection Bodrum,Akyarlar,4,1,0,236.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD016,Xanadu Island,Akyarlar,4,4,4,237.5,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,4,0,0,59.5,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD072,VERY CHIC BODRUM,Gümbet,3,1,0,125.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD058,Bodrum Beach Resort,Gümbet,3,2,0,137.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD061,Gümbet Anıl Beach,Gümbet,2,0,0,208.5,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,2,0,0,131.5,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,1,0,149.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD010,Mare Garden Hotel,Akyarlar,1,1,0,78.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD158,Arin Resort Bodrum,Turgutreis,1,0,0,146.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD038,Casa Mare Bodrum,Bodrum Merkez,1,0,0,68.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,1,0,227.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD023,Doria Hotel Bodrum,Bitez,1,0,0,161.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD060,Club Shark Hotel,Gümbet,1,0,0,67.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
BOD069,Siesta Beach Apart,Gümbet,1,1,0,134.0,True,LOW_SAMPLE,LOW_SAMPLE: n<5,Pool into broader corpus; avoid hotel-level inference,Document count alone does not establish representativeness.
