hotel_name,area,metric,value,matched_complaint_count,reason_flag,selection_reason,small_n_flag,low_google_review_denominator_flag,caution_note
Kefaluka Resort,Akyarlar,matched_complaint_count,29.0,29,HIGH_CORPUS_VOLUME,High clean-corpus visibility; exposure context required,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Azure By Yelken Hotel,Kadıkalesi,matched_complaint_count,26.0,26,HIGH_CORPUS_VOLUME,High clean-corpus visibility; exposure context required,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Yasmin Bodrum Resort,Kadıkalesi,matched_complaint_count,23.0,23,HIGH_CORPUS_VOLUME,High clean-corpus visibility; exposure context required,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
La Blanche Island Bodrum,Güvercinlik,matched_complaint_count,19.0,19,HIGH_CORPUS_VOLUME,High clean-corpus visibility; exposure context required,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Petunya Beach Resort,Ortakent-Yahşi,matched_complaint_count,13.0,13,HIGH_CORPUS_VOLUME,High clean-corpus visibility; exposure context required,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Azure By Yelken Hotel,Kadıkalesi,cross_platform_complaint_visibility_per_1000_google_reviews,46.017699115044245,26,HIGH_CROSS_PLATFORM_VISIBILITY,High cross-platform visibility index; not a complaint rate,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Ladonia Hotels Zemda,Gümüşlük,cross_platform_complaint_visibility_per_1000_google_reviews,18.617021276595743,7,HIGH_CROSS_PLATFORM_VISIBILITY,High cross-platform visibility index; not a complaint rate,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
The Oba Hotel,Torba,cross_platform_complaint_visibility_per_1000_google_reviews,16.58374792703151,10,HIGH_CROSS_PLATFORM_VISIBILITY,High cross-platform visibility index; not a complaint rate,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,cross_platform_complaint_visibility_per_1000_google_reviews,7.751937984496124,2,HIGH_CROSS_PLATFORM_VISIBILITY,High cross-platform visibility index; not a complaint rate,True,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Kefaluka Resort,Akyarlar,cross_platform_complaint_visibility_per_1000_google_reviews,6.755182855811786,29,HIGH_CROSS_PLATFORM_VISIBILITY,High cross-platform visibility index; not a complaint rate,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
The Oba Hotel,Torba,median_view_count,3080.5,10,HIGH_MEDIAN_VIEW_MIN_N,High median view among hotels with complaint n>=5; age confounding,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Azure By Yelken Hotel,Kadıkalesi,median_view_count,2076.0,26,HIGH_MEDIAN_VIEW_MIN_N,High median view among hotels with complaint n>=5; age confounding,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Yasmin Bodrum Resort,Kadıkalesi,median_view_count,1437.0,23,HIGH_MEDIAN_VIEW_MIN_N,High median view among hotels with complaint n>=5; age confounding,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
La Quinta by Wyndham Bodrum,Bodrum Merkez,median_view_count,996.0,5,HIGH_MEDIAN_VIEW_MIN_N,High median view among hotels with complaint n>=5; age confounding,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Bendis Beach Hotel,Akyarlar,median_view_count,983.0,12,HIGH_MEDIAN_VIEW_MIN_N,High median view among hotels with complaint n>=5; age confounding,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Yasmin Bodrum Resort,Kadıkalesi,company_response_rate_in_corpus,0.0,23,LOW_RESPONSE_SHARE_MIN_N,Low matched-response share among hotels with complaint n>=5; not resolution,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Petunya Beach Resort,Ortakent-Yahşi,company_response_rate_in_corpus,0.0,13,LOW_RESPONSE_SHARE_MIN_N,Low matched-response share among hotels with complaint n>=5; not resolution,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
La Blanche Resort Bodrum,Turgutreis,company_response_rate_in_corpus,0.0,12,LOW_RESPONSE_SHARE_MIN_N,Low matched-response share among hotels with complaint n>=5; not resolution,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
Green Bay Resort & Spa Bodrum,Güvercinlik,company_response_rate_in_corpus,0.0,11,LOW_RESPONSE_SHARE_MIN_N,Low matched-response share among hotels with complaint n>=5; not resolution,False,False,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
The Oba Hotel,Torba,company_response_rate_in_corpus,0.0,10,LOW_RESPONSE_SHARE_MIN_N,Low matched-response share among hotels with complaint n>=5; not resolution,False,True,Selected mapped corpus; platform visibility and sample size differ; no quality ranking.
