finding_id,level,hotel_id,hotel_name,finding,evidence_metric,evidence_value,support_n,confidence,limitation
GSF001,GLOBAL,,,27 hotels have both Google Travel review data and at least one visible Sikayetvar complaint.,common_complaint_bearing_hotel_n,27.0,27,HIGH,"Google and Sikayetvar are different populations with different exposure; this is a coverage fact, not a sentiment comparison."
GSF002,GLOBAL,,,"15 hotels have enough sample size on both sides (Google n>=10, Sikayetvar complaint_n>=5) for a genuinely supported comparison.",supported_common_hotel_n,15.0,15,HIGH,Comparisons outside this supported set should be read as directional only.
GSF003,HOTEL,BOD077,Ladonia Hotels Zemda,MANAGEMENT_COMMUNICATION shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,100.0,7,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF004,HOTEL,BOD077,Ladonia Hotels Zemda,PRICE_VALUE shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,100.0,7,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF005,HOTEL,BOD077,Ladonia Hotels Zemda,PAYMENT_REFUND shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,100.0,7,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF006,HOTEL,BOD077,Ladonia Hotels Zemda,RESERVATION shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,100.0,7,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF007,HOTEL,BOD113,Kadıkale Resort,ROOM_COMFORT shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,85.7,7,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF008,HOTEL,BOD130,Petunya Beach Resort,MANAGEMENT_COMMUNICATION shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,84.6,13,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF009,HOTEL,BOD006,Club Marma Hotel,FOOD_BEVERAGE shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,80.0,5,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF010,HOTEL,BOD161,MyElla Hotel Resort & Spa,STAFF_SERVICE shows up as a concern in BOTH Google Travel (low-rating context) and Sikayetvar (recurrent complaint theme) for this hotel.,sikayetvar_mention_rate_pct,78.6,28,MEDIUM,"Two independently-biased corpora agreeing increases confidence, but neither is a random sample."
GSF011,HOTEL,BOD006,Club Marma Hotel,"STAFF_SERVICE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,100.0,5,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF012,HOTEL,BOD045,Salmakis Resort & Spa,"STAFF_SERVICE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,100.0,7,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF013,HOTEL,BOD068,Selectum Colours Bodrum,"ROOM_COMFORT is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,88.9,9,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF014,HOTEL,BOD045,Salmakis Resort & Spa,"ROOM_COMFORT is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,85.7,7,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF015,HOTEL,BOD002,Armonia Holiday Village & Spa,"STAFF_SERVICE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,75.0,8,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF016,HOTEL,BOD002,Armonia Holiday Village & Spa,"FOOD_BEVERAGE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,75.0,8,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF017,HOTEL,BOD045,Salmakis Resort & Spa,"FOOD_BEVERAGE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,71.4,7,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
GSF018,HOTEL,BOD068,Selectum Colours Bodrum,"STAFF_SERVICE is a Google Travel strength signal (high-rating context) yet still appears as a Sikayetvar complaint theme for this hotel - a genuine source divergence, not a contradiction.",sikayetvar_mention_rate_pct,66.7,9,MEDIUM,Complaint corpora over-represent unhappy guests by design; this does not mean the Google signal is wrong.
