aspect,keyword,keyword_type,source,document_count,included,notes
STAFF_SERVICE,personel,UNIGRAM,SEED,63,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,çalışan,UNIGRAM,SEED,50,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,görevli,UNIGRAM,SEED,28,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,garson,UNIGRAM,SEED,18,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,resepsiyonist,UNIGRAM,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,hizmet,UNIGRAM,SEED,87,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,servis,UNIGRAM,SEED,32,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,ilgisiz,UNIGRAM,SEED,24,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,kaba,UNIGRAM,SEED,12,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,saygısız,UNIGRAM,SEED,13,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,tecrübesiz,UNIGRAM,SEED,2,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,profesyonellik,UNIGRAM,SEED,3,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,yardımcı olmadı,PHRASE,SEED,2,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,ilgi yok,PHRASE,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,muhatap yok,PHRASE,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
STAFF_SERVICE,animasyon ekibi,PHRASE,SEED,3,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,temizlik,UNIGRAM,SEED,30,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,temiz,UNIGRAM,SEED,62,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,kirli,UNIGRAM,SEED,21,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,pis,UNIGRAM,SEED,12,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,hijyen,UNIGRAM,SEED,45,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,çarşaf,UNIGRAM,SEED,8,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,havlu,UNIGRAM,SEED,20,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,leke,UNIGRAM,SEED,7,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,koku,UNIGRAM,SEED,24,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,küf,UNIGRAM,CORPUS_DISCOVERED,5,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,böcek,UNIGRAM,SEED,12,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,haşere,UNIGRAM,SEED,1,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,tahtakurusu,UNIGRAM,CORPUS_DISCOVERED,0,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,örümcek ağı,PHRASE,CORPUS_DISCOVERED,0,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,saç kılı,PHRASE,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,kan lekesi,PHRASE,CORPUS_DISCOVERED,0,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,oda temizliği,PHRASE,SEED,13,True,Phrase-first and word-boundary matching; manual validation pending.
CLEANLINESS_HYGIENE,kötü koku,PHRASE,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,yemek,UNIGRAM,SEED,85,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,kahvaltı,UNIGRAM,SEED,15,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,restoran,UNIGRAM,SEED,44,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,restaurant,UNIGRAM,SEED,0,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,büfe,UNIGRAM,SEED,10,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,açık büfe,PHRASE,SEED,5,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,içecek,UNIGRAM,SEED,13,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,bar,UNIGRAM,SEED,18,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,lezzet,UNIGRAM,SEED,22,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,yiyecek,UNIGRAM,SEED,6,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,mutfak,UNIGRAM,SEED,7,True,Phrase-first and word-boundary matching; manual validation pending.
FOOD_BEVERAGE,snack,UNIGRAM,SEED,12,True,Phrase-first and word-boundary matching; manual validation pending.
